id,houseLink,pictureurl,area,road,size,totlefloor,floor,year,room,hall,bath,totalprice,unitprice
94112U,https://www.sinyi.com.tw/buy/house/94112U/?breadcrumb=list,https://res.sinyi.com.tw/buy/94112U/smallimg/A.JPG,萬華區,桂林路,34.78,14,7,18.1,2,2,2,2150,61.82
08208H,https://www.sinyi.com.tw/buy/house/08208H/?breadcrumb=list,https://res.sinyi.com.tw/buy/08208H/smallimg/A.JPG,松山區,八德路三段,20.38,7,4,37.1,1,2,5,1808,88.71
65065G,https://www.sinyi.com.tw/buy/house/65065G/?breadcrumb=list,https://res.sinyi.com.tw/buy/65065G/smallimg/A.JPG,中山區,撫順街,23.28,15,13,9.7,1,1,1,1898,81.53
68817Y,https://www.sinyi.com.tw/buy/house/68817Y,https://res.sinyi.com.tw/buy/88826J/smallimg/A.JPG,內湖區,文德路,44.56,8,8,28.7,3,2,2,2980,66.88
71340W,https://www.sinyi.com.tw/buy/house/71340W/?breadcrumb=list,https://res.sinyi.com.tw/buy/71340W/smallimg/A.JPG,內湖區,陽光街,45.09,7,2,12.8,3,2,2,3280,72.74
20867N,https://www.sinyi.com.tw/buy/house/20867N/?breadcrumb=list,https://res.sinyi.com.tw/buy/20867N/smallimg/A.JPG,北投區,裕民六路,72.1,14,10,6.0,4,2,2,6888,95.53
45879P,https://www.sinyi.com.tw/buy/house/45879P/?breadcrumb=list,https://res.sinyi.com.tw/buy/45879P/smallimg/A.JPG,內湖區,星雲街,33.18,7,3,7.5,2,2,1,3088,93.07
99849U,https://www.sinyi.com.tw/buy/house/99849U/?breadcrumb=list,https://res.sinyi.com.tw/buy/99849U/smallimg/A.JPG,內湖區,內湖路三段,77.95,19,9,3.9,3,2,2,5780,74.15
92984T,https://www.sinyi.com.tw/buy/house/92984T/?breadcrumb=list,https://res.sinyi.com.tw/buy/92984T/smallimg/A.JPG,大安區,羅斯福路三段,110.6,19,17,8.2,4,2,3,13910,125.77
89153F,https://www.sinyi.com.tw/buy/house/89153F/?breadcrumb=list,https://res.sinyi.com.tw/buy/89153F/smallimg/A.JPG,信義區,松平路,32.99,8,3,13.3,1,1,1,2998,90.88
75417A,https://www.sinyi.com.tw/buy/house/75417A/?breadcrumb=list,https://res.sinyi.com.tw/buy/75417A/smallimg/A.JPG,信義區,信義路五段,35.92,19,19,14.2,2,2,1,3980,110.8
53818J,https://www.sinyi.com.tw/buy/house/53818J/?breadcrumb=list,https://res.sinyi.com.tw/buy/53818J/smallimg/A.JPG,內湖區,成功路五段,75.65,12,3,23.8,4,2,2,4580,60.54
55700K,https://www.sinyi.com.tw/buy/house/55700K/?breadcrumb=list,https://res.sinyi.com.tw/buy/55700K/smallimg/A.JPG,內湖區,文湖街,16.09,6,6,23.9,1,1,1,1498,93.1
38087W,https://www.sinyi.com.tw/buy/house/38087W/?breadcrumb=list,https://res.sinyi.com.tw/buy/38087W/smallimg/A.JPG,士林區,中山北路五段,147.32,15,7,6.9,3,2,3,11368,77.17
20557N,https://www.sinyi.com.tw/buy/house/20557N/?breadcrumb=list,https://res.sinyi.com.tw/buy/20557N/smallimg/A.JPG,內湖區,內湖路三段,84.67,19,12,3.9,3,2,2,5988,70.72
51177D,https://www.sinyi.com.tw/buy/house/51177D/?breadcrumb=list,https://res.sinyi.com.tw/buy/51177D/smallimg/A.JPG,士林區,中山北路六段,59.35,13,7,8.8,1,2,2,6888,116.06
45471F,https://www.sinyi.com.tw/buy/house/45471F/?breadcrumb=list,https://res.sinyi.com.tw/buy/45471F/smallimg/A.JPG,中山區,五常街,75.03,17,6,1.5,3,2,2,6800,90.63
